;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 29/04/2022 03:30:18
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_MathDouble.c,930 :: 		
0x0734	0x3901      	ANDLW      1
;__Lib_MathDouble.c,931 :: 		
0x0735	0x07FD      	ADDWF      R13, 1
;__Lib_MathDouble.c,932 :: 		
0x0736	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,933 :: 		
0x0737	0x0AFC      	INCF       R12, 1
;__Lib_MathDouble.c,934 :: 		
0x0738	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,935 :: 		
0x0739	0x0AF8      	INCF       R8, 1
;__Lib_MathDouble.c,936 :: 		
0x073A	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,937 :: 		
0x073B	0x2F42      	GOTO       DIV32OK
;__Lib_MathDouble.c,938 :: 		
0x073C	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,939 :: 		
0x073D	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,940 :: 		
0x073E	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,941 :: 		
0x073F	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,942 :: 		
0x0740	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,943 :: 		
0x0741	0x2F52      	GOTO       JPDSETFOV32
;__Lib_MathDouble.c,944 :: 		
DIV32OK:
;__Lib_MathDouble.c,945 :: 		
0x0742	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,946 :: 		
0x0743	0x13F8      	BCF        R8, 7
;__Lib_MathDouble.c,947 :: 		
0x0744	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,948 :: 		
0x0745	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,949 :: 		
0x0746	0x087C      	MOVF       R12, 0
;__Lib_MathDouble.c,950 :: 		
0x0747	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,951 :: 		
0x0748	0x087D      	MOVF       R13, 0
;__Lib_MathDouble.c,952 :: 		
0x0749	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,954 :: 		
0x074A	0x3000      	MOVLW      0
;__Lib_MathDouble.c,956 :: 		
0x074B	0x2F57      	GOTO       DIV32EEE
;__Lib_MathDouble.c,957 :: 		
JPDSETFDZ32:
;__Lib_MathDouble.c,958 :: 		
0x074C	0x3001      	MOVLW      1
;__Lib_MathDouble.c,961 :: 		
0x074D	0x22C9      	CALL       _SETFDZ32
;__Lib_MathDouble.c,963 :: 		
0x074E	0x2F57      	GOTO       DIV32EEE
;__Lib_MathDouble.c,964 :: 		
JPDRES032:
;__Lib_MathDouble.c,965 :: 		
0x074F	0x3002      	MOVLW      2
;__Lib_MathDouble.c,968 :: 		
0x0750	0x212F      	CALL       _RES032
;__Lib_MathDouble.c,970 :: 		
0x0751	0x2F57      	GOTO       DIV32EEE
;__Lib_MathDouble.c,971 :: 		
JPDSETFOV32:
;__Lib_MathDouble.c,972 :: 		
0x0752	0x3004      	MOVLW      4
;__Lib_MathDouble.c,975 :: 		
0x0753	0x2123      	CALL       _SETFOV32
;__Lib_MathDouble.c,977 :: 		
0x0754	0x2F57      	GOTO       DIV32EEE
;__Lib_MathDouble.c,978 :: 		
JPDSETFUN32:
;__Lib_MathDouble.c,979 :: 		
0x0755	0x3008      	MOVLW      8
;__Lib_MathDouble.c,982 :: 		
0x0756	0x2136      	CALL       _SETFUN32
;__Lib_MathDouble.c,984 :: 		
DIV32EEE:
;__Lib_MathDouble.c,985 :: 		
0x0757	0x0000      	NOP
;__Lib_MathDouble.c,994 :: 		
L_end_Div_32x32_FP:
0x0758	0x0008      	RETURN
; end of _Div_32x32_FP
_ledgreen_on_for_ms:
;update_week4_project.c,446 :: 		void ledgreen_on_for_ms( unsigned int time_ms){
;update_week4_project.c,447 :: 		ledg=1;
0x0759	0x1283      	BCF        STATUS, 5
0x075A	0x1303      	BCF        STATUS, 6
0x075B	0x1488      	BSF        PORTD, 1
;update_week4_project.c,448 :: 		while( 0< time_ms ){  Delay_ms(1); --time_ms;  }
L_ledgreen_on_for_ms59:
0x075C	0x1683      	BSF        STATUS, 5
0x075D	0x0848      	MOVF       FARG_ledgreen_on_for_ms_time_ms+1, 0
0x075E	0x3C00      	SUBLW      0
0x075F	0x1D03      	BTFSS      STATUS, 2
0x0760	0x2F63      	GOTO       L__ledgreen_on_for_ms94
0x0761	0x0847      	MOVF       FARG_ledgreen_on_for_ms_time_ms, 0
0x0762	0x3C00      	SUBLW      0
L__ledgreen_on_for_ms94:
0x0763	0x1803      	BTFSC      STATUS, 0
0x0764	0x2F72      	GOTO       L_ledgreen_on_for_ms60
0x0765	0x3002      	MOVLW      2
0x0766	0x00FC      	MOVWF      R12
0x0767	0x304B      	MOVLW      75
0x0768	0x00FD      	MOVWF      R13
L_ledgreen_on_for_ms61:
0x0769	0x0BFD      	DECFSZ     R13, 1
0x076A	0x2F69      	GOTO       L_ledgreen_on_for_ms61
0x076B	0x0BFC      	DECFSZ     R12, 1
0x076C	0x2F69      	GOTO       L_ledgreen_on_for_ms61
0x076D	0x3001      	MOVLW      1
0x076E	0x02C7      	SUBWF      FARG_ledgreen_on_for_ms_time_ms, 1
0x076F	0x1C03      	BTFSS      STATUS, 0
0x0770	0x03C8      	DECF       FARG_ledgreen_on_for_ms_time_ms+1, 1
0x0771	0x2F5C      	GOTO       L_ledgreen_on_for_ms59
L_ledgreen_on_for_ms60:
;update_week4_project.c,449 :: 		ledg=0;
0x0772	0x1283      	BCF        STATUS, 5
0x0773	0x1088      	BCF        PORTD, 1
;update_week4_project.c,450 :: 		}
L_end_ledgreen_on_for_ms:
0x0774	0x0008      	RETURN
; end of _ledgreen_on_for_ms
_blink_ledRed_n_sec:
;update_week4_project.c,431 :: 		void blink_ledRed_n_sec( unsigned char secds ){ char i;
;update_week4_project.c,432 :: 		for(i=0; i<secds ;i++){
0x0775	0x1283      	BCF        STATUS, 5
0x0776	0x1303      	BCF        STATUS, 6
0x0777	0x01F1      	CLRF       R1
L_blink_ledRed_n_sec51:
0x0778	0x1683      	BSF        STATUS, 5
0x0779	0x0847      	MOVF       FARG_blink_ledRed_n_sec_secds, 0
0x077A	0x0271      	SUBWF      R1, 0
0x077B	0x1803      	BTFSC      STATUS, 0
0x077C	0x2F9E      	GOTO       L_blink_ledRed_n_sec52
;update_week4_project.c,433 :: 		ledr=1;
0x077D	0x1283      	BCF        STATUS, 5
0x077E	0x1408      	BSF        PORTD, 0
;update_week4_project.c,434 :: 		Delay_ms(500);
0x077F	0x3003      	MOVLW      3
0x0780	0x00FB      	MOVWF      R11
0x0781	0x308A      	MOVLW      138
0x0782	0x00FC      	MOVWF      R12
0x0783	0x3055      	MOVLW      85
0x0784	0x00FD      	MOVWF      R13
L_blink_ledRed_n_sec54:
0x0785	0x0BFD      	DECFSZ     R13, 1
0x0786	0x2F85      	GOTO       L_blink_ledRed_n_sec54
0x0787	0x0BFC      	DECFSZ     R12, 1
0x0788	0x2F85      	GOTO       L_blink_ledRed_n_sec54
0x0789	0x0BFB      	DECFSZ     R11, 1
0x078A	0x2F85      	GOTO       L_blink_ledRed_n_sec54
0x078B	0x0000      	NOP
0x078C	0x0000      	NOP
;update_week4_project.c,435 :: 		ledr=0;
0x078D	0x1008      	BCF        PORTD, 0
;update_week4_project.c,436 :: 		Delay_ms(500);
0x078E	0x3003      	MOVLW      3
0x078F	0x00FB      	MOVWF      R11
0x0790	0x308A      	MOVLW      138
0x0791	0x00FC      	MOVWF      R12
0x0792	0x3055      	MOVLW      85
0x0793	0x00FD      	MOVWF      R13
L_blink_ledRed_n_sec55:
0x0794	0x0BFD      	DECFSZ     R13, 1
0x0795	0x2F94      	GOTO       L_blink_ledRed_n_sec55
0x0796	0x0BFC      	DECFSZ     R12, 1
0x0797	0x2F94      	GOTO       L_blink_ledRed_n_sec55
0x0798	0x0BFB      	DECFSZ     R11, 1
0x0799	0x2F94      	GOTO       L_blink_ledRed_n_sec55
0x079A	0x0000      	NOP
0x079B	0x0000      	NOP
;update_week4_project.c,432 :: 		for(i=0; i<secds ;i++){
0x079C	0x0AF1      	INCF       R1, 1
;update_week4_project.c,437 :: 		}
0x079D	0x2F78      	GOTO       L_blink_ledRed_n_sec51
L_blink_ledRed_n_sec52:
;update_week4_project.c,438 :: 		}
L_end_blink_ledRed_n_sec:
0x079E	0x0008      	RETURN
; end of _blink_ledRed_n_sec
_get_temperature_value:
;update_week4_project.c,541 :: 		float get_temperature_value(  unsigned int  analog_data   ){
;update_week4_project.c,544 :: 		float millivolts= analog_data;
0x079F	0x1683      	BSF        STATUS, 5
0x07A0	0x1303      	BCF        STATUS, 6
0x07A1	0x0847      	MOVF       FARG_get_temperature_value_analog_data, 0
0x07A2	0x00F0      	MOVWF      R0
0x07A3	0x0848      	MOVF       FARG_get_temperature_value_analog_data+1, 0
0x07A4	0x00F1      	MOVWF      R0+1
0x07A5	0x25E7      	CALL       _word2double
;update_week4_project.c,545 :: 		millivolts= millivolts*5000.0/1024.0; // scaling input millvolts to be able to get data from sensor
0x07A6	0x3000      	MOVLW      0
0x07A7	0x00F4      	MOVWF      R4
0x07A8	0x3040      	MOVLW      64
0x07A9	0x00F5      	MOVWF      R4+1
0x07AA	0x301C      	MOVLW      28
0x07AB	0x00F6      	MOVWF      R4+2
0x07AC	0x308B      	MOVLW      139
0x07AD	0x00F7      	MOVWF      R4+3
0x07AE	0x2227      	CALL       _Mul_32x32_FP
0x07AF	0x3000      	MOVLW      0
0x07B0	0x00F4      	MOVWF      R4
0x07B1	0x3000      	MOVLW      0
0x07B2	0x00F5      	MOVWF      R4+1
0x07B3	0x3000      	MOVLW      0
0x07B4	0x00F6      	MOVWF      R4+2
0x07B5	0x3089      	MOVLW      137
0x07B6	0x00F7      	MOVWF      R4+3
0x07B7	0x26A2      	CALL       _Div_32x32_FP
;update_week4_project.c,546 :: 		temperature=  millivolts/10 ; // only a few millivolts (mV) for a 10ºC change in temperature after scaling we devide to get as close to 1°
0x07B8	0x3000      	MOVLW      0
0x07B9	0x00F4      	MOVWF      R4
0x07BA	0x3000      	MOVLW      0
0x07BB	0x00F5      	MOVWF      R4+1
0x07BC	0x3020      	MOVLW      32
0x07BD	0x00F6      	MOVWF      R4+2
0x07BE	0x3082      	MOVLW      130
0x07BF	0x00F7      	MOVWF      R4+3
0x07C0	0x26A2      	CALL       _Div_32x32_FP
;update_week4_project.c,548 :: 		return temperature ;
;update_week4_project.c,550 :: 		}
L_end_get_temperature_value:
0x07C1	0x0008      	RETURN
; end of _get_temperature_value
_ADC_Init:
;__Lib_ADC_A_C.c,19 :: 		
;__Lib_ADC_A_C.c,20 :: 		
0x07C2	0x30FF      	MOVLW      _ADC_Get_Sample
0x07C3	0x1683      	BSF        STATUS, 5
0x07C4	0x1303      	BCF        STATUS, 6
0x07C5	0x00BC      	MOVWF      _ADC_Get_Sample_Ptr
0x07C6	0x30FF      	MOVLW      hi_addr(_ADC_Get_Sample)
0x07C7	0x00BD      	MOVWF      _ADC_Get_Sample_Ptr+1
0x07C8	0x30FF      	MOVLW      FARG_ADC_Get_Sample_channel
0x07C9	0x00BE      	MOVWF      _ADC_Get_Sample_Ptr+2
0x07CA	0x30FF      	MOVLW      hi_addr(FARG_ADC_Get_Sample_channel)
;__Lib_ADC_A_C.c,22 :: 		
0x07CB	0x1283      	BCF        STATUS, 5
0x07CC	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,23 :: 		
0x07CD	0x30C0      	MOVLW      192
0x07CE	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,24 :: 		
0x07CF	0x096E      	COMF       _vref_mask, 0
0x07D0	0x00F0      	MOVWF      R0
0x07D1	0x0870      	MOVF       R0, 0
0x07D2	0x1683      	BSF        STATUS, 5
0x07D3	0x059F      	ANDWF      ADCON1, 1
;__Lib_ADC_A_C.c,25 :: 		
0x07D4	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,26 :: 		
0x07D5	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,29 :: 		
0x07D6	0x1283      	BCF        STATUS, 5
0x07D7	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,30 :: 		
L_end_ADC_Init:
0x07D8	0x0008      	RETURN
; end of _ADC_Init
_ledblue_on_for_ms:
;update_week4_project.c,440 :: 		void ledblue_on_for_ms( unsigned int time_ms){
;update_week4_project.c,441 :: 		ledb=1;
0x07D9	0x1283      	BCF        STATUS, 5
0x07DA	0x1303      	BCF        STATUS, 6
0x07DB	0x1508      	BSF        PORTD, 2
;update_week4_project.c,442 :: 		while( 0< time_ms ){  Delay_ms(1); --time_ms;  }
L_ledblue_on_for_ms56:
0x07DC	0x1683      	BSF        STATUS, 5
0x07DD	0x0848      	MOVF       FARG_ledblue_on_for_ms_time_ms+1, 0
0x07DE	0x3C00      	SUBLW      0
0x07DF	0x1D03      	BTFSS      STATUS, 2
0x07E0	0x2FE3      	GOTO       L__ledblue_on_for_ms92
0x07E1	0x0847      	MOVF       FARG_ledblue_on_for_ms_time_ms, 0
0x07E2	0x3C00      	SUBLW      0
L__ledblue_on_for_ms92:
0x07E3	0x1803      	BTFSC      STATUS, 0
0x07E4	0x2FF2      	GOTO       L_ledblue_on_for_ms57
0x07E5	0x3002      	MOVLW      2
0x07E6	0x00FC      	MOVWF      R12
0x07E7	0x304B      	MOVLW      75
0x07E8	0x00FD      	MOVWF      R13
L_ledblue_on_for_ms58:
0x07E9	0x0BFD      	DECFSZ     R13, 1
0x07EA	0x2FE9      	GOTO       L_ledblue_on_for_ms58
0x07EB	0x0BFC      	DECFSZ     R12, 1
0x07EC	0x2FE9      	GOTO       L_ledblue_on_for_ms58
0x07ED	0x3001      	MOVLW      1
0x07EE	0x02C7      	SUBWF      FARG_ledblue_on_for_ms_time_ms, 1
0x07EF	0x1C03      	BTFSS      STATUS, 0
0x07F0	0x03C8      	DECF       FARG_ledblue_on_for_ms_time_ms+1, 1
0x07F1	0x2FDC      	GOTO       L_ledblue_on_for_ms56
L_ledblue_on_for_ms57:
;update_week4_project.c,443 :: 		ledb=0;
0x07F2	0x1283      	BCF        STATUS, 5
0x07F3	0x1108      	BCF        PORTD, 2
;update_week4_project.c,444 :: 		}
L_end_ledblue_on_for_ms:
0x07F4	0x0008      	RETURN
; end of _ledblue_on_for_ms
_activate_rb0_interrupt:
;update_week4_project.c,280 :: 		void activate_rb0_interrupt(){
;update_week4_project.c,286 :: 		INTCON.GIE=1; //bit 7 ==of> INTCON -> activate interreption
0x07F5	0x178B      	BSF        INTCON, 7
;update_week4_project.c,287 :: 		INTCON.INTE=1;// bit 4 ==of> reg INTCON  -> activate rb0 interruption
0x07F6	0x160B      	BSF        INTCON, 4
;update_week4_project.c,292 :: 		OPTION_REG.INTEDG=1; // bit 6 ==of> reg OPTION_REG -> transition from 0 -to-> 1
0x07F7	0x1683      	BSF        STATUS, 5
0x07F8	0x1303      	BCF        STATUS, 6
0x07F9	0x1701      	BSF        OPTION_REG, 6
;update_week4_project.c,294 :: 		}
L_end_activate_rb0_interrupt:
0x07FA	0x0008      	RETURN
; end of _activate_rb0_interrupt
_activate_rb4_to_rb7_interrupt:
;update_week4_project.c,300 :: 		void activate_rb4_to_rb7_interrupt(){
;update_week4_project.c,306 :: 		INTCON.GIE=1; //bit 7 ==of> INTCON -> activate interreption
0x07FB	0x178B      	BSF        INTCON, 7
;update_week4_project.c,307 :: 		INTCON.RBIE=1;// bit 3 ==of> reg INTCON  -> activate rb4->rb7 interruption
0x07FC	0x158B      	BSF        INTCON, 3
;update_week4_project.c,309 :: 		}
L_end_activate_rb4_to_rb7_interrupt:
0x07FD	0x0008      	RETURN
; end of _activate_rb4_to_rb7_interrupt
_Div_32x32_U:
;__Lib_Math.c,1317 :: 		
;__Lib_Math.c,1326 :: 		
;__Lib_Math.c,1328 :: 		
0x0800	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,1329 :: 		
0x0801	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,1330 :: 		
0x0802	0x01FB      	CLRF       R11
;__Lib_Math.c,1331 :: 		
0x0803	0x01FA      	CLRF       R10
;__Lib_Math.c,1332 :: 		
0x0804	0x01F9      	CLRF       R9
;__Lib_Math.c,1333 :: 		
0x0805	0x01F8      	CLRF       R8
;__Lib_Math.c,1335 :: 		
0x0806	0x01A0      	CLRF       ___math_tempb
;__Lib_Math.c,1337 :: 		
0x0807	0x0D73      	RLF        R3, 0
;__Lib_Math.c,1338 :: 		
0x0808	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1339 :: 		
0x0809	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1340 :: 		
0x080A	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1341 :: 		
0x080B	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1342 :: 		
0x080C	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1343 :: 		
0x080D	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1344 :: 		
0x080E	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1345 :: 		
0x080F	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1346 :: 		
0x0810	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1347 :: 		
0x0811	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1348 :: 		
0x0812	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1349 :: 		
0x0813	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1350 :: 		
0x0814	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1351 :: 		
0x0815	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1352 :: 		
0x0816	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1354 :: 		
0x0817	0x0100      	CLRW
;__Lib_Math.c,1355 :: 		
0x0818	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1356 :: 		
0x0819	0x3001      	MOVLW      1
;__Lib_Math.c,1357 :: 		
0x081A	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1358 :: 		
0x081B	0x0DF3      	RLF        R3, 1
;__Lib_Math.c,1360 :: 		
0x081C	0x3007      	MOVLW      7
;__Lib_Math.c,1361 :: 		
0x081D	0x00FC      	MOVWF      R12
;__Lib_Math.c,1363 :: 		
LOOPU3232A:
;__Lib_Math.c,1364 :: 		
0x081E	0x0D73      	RLF        R3, 0
;__Lib_Math.c,1365 :: 		
0x081F	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1366 :: 		
0x0820	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1367 :: 		
0x0821	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1368 :: 		
0x0822	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1369 :: 		
0x0823	0x0DA0      	RLF        ___math_tempb, 1
;__Lib_Math.c,1370 :: 		
0x0824	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1371 :: 		
0x0825	0x1C73      	BTFSS      R3, 0
;__Lib_Math.c,1372 :: 		
0x0826	0x2839      	GOTO       UADD22LA
;__Lib_Math.c,1374 :: 		
0x0827	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1375 :: 		
0x0828	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1376 :: 		
0x0829	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1377 :: 		
0x082A	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1378 :: 		
0x082B	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1379 :: 		
0x082C	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1380 :: 		
0x082D	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1381 :: 		
0x082E	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1382 :: 		
0x082F	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1383 :: 		
0x0830	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1384 :: 		
0x0831	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1385 :: 		
0x0832	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1386 :: 		
0x0833	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1387 :: 		
0x0834	0x0100      	CLRW
;__Lib_Math.c,1388 :: 		
0x0835	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1389 :: 		
0x0836	0x3001      	MOVLW      1
;__Lib_Math.c,1390 :: 		
0x0837	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1391 :: 		
0x0838	0x284A      	GOTO       UOK22LA
;__Lib_Math.c,1393 :: 		
UADD22LA:
;__Lib_Math.c,1394 :: 		
0x0839	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1395 :: 		
0x083A	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1396 :: 		
0x083B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1397 :: 		
0x083C	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1398 :: 		
0x083D	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1399 :: 		
0x083E	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1400 :: 		
0x083F	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1401 :: 		
0x0840	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1402 :: 		
0x0841	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1403 :: 		
0x0842	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1404 :: 		
0x0843	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1405 :: 		
0x0844	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1406 :: 		
0x0845	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1407 :: 		
0x0846	0x0100      	CLRW
;__Lib_Math.c,1408 :: 		
0x0847	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1409 :: 		
0x0848	0x3001      	MOVLW      1
;__Lib_Math.c,1410 :: 		
0x0849	0x07A0      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1412 :: 		
UOK22LA:
;__Lib_Math.c,1413 :: 		
0x084A	0x0DF3      	RLF        R3, 1
;__Lib_Math.c,1415 :: 		
0x084B	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,1416 :: 		
0x084C	0x281E      	GOTO       LOOPU3232A
;__Lib_Math.c,1418 :: 		
0x084D	0x0D72      	RLF        R2, 0
;__Lib_Math.c,1419 :: 		
0x084E	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1420 :: 		
0x084F	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1421 :: 		
0x0850	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1422 :: 		
0x0851	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1423 :: 		
0x0852	0x0DA0      	RLF        ___math_tempb, 1
;__Lib_Math.c,1424 :: 		
0x0853	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1425 :: 		
0x0854	0x1C73      	BTFSS      R3, 0
;__Lib_Math.c,1426 :: 		
0x0855	0x2868      	GOTO       UADD22L8
;__Lib_Math.c,1428 :: 		
0x0856	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1429 :: 		
0x0857	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1430 :: 		
0x0858	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1431 :: 		
0x0859	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1432 :: 		
0x085A	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1433 :: 		
0x085B	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1434 :: 		
0x085C	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1435 :: 		
0x085D	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1436 :: 		
0x085E	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1437 :: 		
0x085F	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1438 :: 		
0x0860	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1439 :: 		
0x0861	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1440 :: 		
0x0862	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1441 :: 		
0x0863	0x0100      	CLRW
;__Lib_Math.c,1442 :: 		
0x0864	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1443 :: 		
0x0865	0x3001      	MOVLW      1
;__Lib_Math.c,1444 :: 		
0x0866	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1445 :: 		
0x0867	0x2879      	GOTO       UOK22L8
;__Lib_Math.c,1447 :: 		
UADD22L8:
;__Lib_Math.c,1448 :: 		
0x0868	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1449 :: 		
0x0869	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1450 :: 		
0x086A	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1451 :: 		
0x086B	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1452 :: 		
0x086C	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1453 :: 		
0x086D	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1454 :: 		
0x086E	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1455 :: 		
0x086F	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1456 :: 		
0x0870	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1457 :: 		
0x0871	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1458 :: 		
0x0872	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1459 :: 		
0x0873	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1460 :: 		
0x0874	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1461 :: 		
0x0875	0x0100      	CLRW
;__Lib_Math.c,1462 :: 		
0x0876	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1463 :: 		
0x0877	0x3001      	MOVLW      1
;__Lib_Math.c,1464 :: 		
0x0878	0x07A0      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1466 :: 		
UOK22L8:
;__Lib_Math.c,1467 :: 		
0x0879	0x0DF2      	RLF        R2, 1
;__Lib_Math.c,1469 :: 		
0x087A	0x3007      	MOVLW      7
;__Lib_Math.c,1470 :: 		
0x087B	0x00FC      	MOVWF      R12
;__Lib_Math.c,1472 :: 		
LOOPU3232B:
;__Lib_Math.c,1473 :: 		
0x087C	0x0D72      	RLF        R2, 0
;__Lib_Math.c,1474 :: 		
0x087D	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1475 :: 		
0x087E	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1476 :: 		
0x087F	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1477 :: 		
0x0880	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1478 :: 		
0x0881	0x0DA0      	RLF        ___math_tempb, 1
;__Lib_Math.c,1479 :: 		
0x0882	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1480 :: 		
0x0883	0x1C72      	BTFSS      R2, 0
;__Lib_Math.c,1481 :: 		
0x0884	0x2897      	GOTO       UADD22LB
;__Lib_Math.c,1483 :: 		
0x0885	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1484 :: 		
0x0886	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1485 :: 		
0x0887	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1486 :: 		
